"Item","Value"
"Model ID","M070_SuperPC_RSF"
"Selector","SuperPC"
"Learner","RSF"
"Candidate gene N","24"
"Selected gene N","20"
"Selected genes","AHCY;SLC16A1;SLC1A5;NUDT5;RUVBL1;ELK1;SNAPC1;PRDX4;LDHA;SLC25A5;NUP37;PRDX6;HK2;PGK1;LDHB;ENO1;PRDX2;PDK1;GPI;PRDX5"
"PRDX4 selected","TRUE"
"Frozen model MD5","e719d0e6b626e75cc134e83fd0929083"
"Risk orientation sign","1"
"Training risk mean","14.2032635590549"
"Training risk SD","21.0317609961383"
"Locked cutoff","-0.499946221137832"
"Model refit in 06B","FALSE"
"Genes reselected in 06B","FALSE"
"Cutoff changed in 06B","FALSE"
"SEQC outcomes used for model selection","FALSE"
"SEQC outcomes used for harmonization","FALSE"
