"Gene","Center","Scale"
"PRDX4",20075.1355047933,8388.07279826608
"SLC16A1",1376.11430959148,836.64463371031
"LDHA",17247.8470600497,9648.39407121274
"LDHB",97008.71520105,31429.2646178654
"PGK1",30124.8515731347,10823.5071715641
"ENO1",19448.6204281584,7095.11062501303
"PDK1",173.470009398067,155.327000903843
"HK2",203.965219263506,304.020815581055
"GPI",30287.3023909578,9288.00694713686
"ALDOA",22678.3193245947,8650.64739626189
"PRDX6",15615.300395387,4601.28255451578
"PRDX2",20654.1973777608,6080.76738686615
"TXN",37009.6038113452,10269.9349116856
"PRDX5",19993.3344504272,7318.86913211395
"TXNRD1",909.495621511222,337.14218707896
"NQO1",32.8918629656519,41.6380449346733
"NUDT5",5254.49874457511,2026.87931048934
"ELK1",144.011404753655,84.1905683592943
"SLC25A5",18242.6514851009,8746.47007129956
"SNAPC1",932.817485169202,495.889093721921
"NUP37",1555.71801426533,656.136902237488
"RUVBL1",797.543813866354,472.903407168107
"SLC1A5",302.703726654851,317.816675008917
"AHCY",14659.4734693633,7763.4164262513
