"Gene","SuperPC_feature_score","Abs_feature_score","SelectedTop20","SelectionRank"
"AHCY",5.80943339759464,5.80943339759464,TRUE,1
"SLC16A1",5.73137608593734,5.73137608593734,TRUE,2
"SLC1A5",5.67333896529711,5.67333896529711,TRUE,3
"NUDT5",5.54863380458562,5.54863380458562,TRUE,4
"RUVBL1",5.3080895517443,5.3080895517443,TRUE,5
"ELK1",5.25700376284687,5.25700376284687,TRUE,6
"SNAPC1",5.15415153178328,5.15415153178328,TRUE,7
"PRDX4",5.10428741085266,5.10428741085266,TRUE,8
"LDHA",4.66190962692558,4.66190962692558,TRUE,9
"SLC25A5",4.6039536835434,4.6039536835434,TRUE,10
"NUP37",4.32778337479466,4.32778337479466,TRUE,11
"PRDX6",3.99255063619358,3.99255063619358,TRUE,12
"HK2",3.68886965673091,3.68886965673091,TRUE,13
"PGK1",3.61169140088413,3.61169140088413,TRUE,14
"LDHB",3.31713814354825,3.31713814354825,TRUE,15
"ENO1",3.00552157077484,3.00552157077484,TRUE,16
"PRDX2",2.92892933477251,2.92892933477251,TRUE,17
"PDK1",2.65838340396463,2.65838340396463,TRUE,18
"GPI",2.22580068367301,2.22580068367301,TRUE,19
"PRDX5",1.86403409661194,1.86403409661194,TRUE,20
"TXN",1.52444462757499,1.52444462757499,FALSE,21
"ALDOA",1.27273269229803,1.27273269229803,FALSE,22
"TXNRD1",1.1640413053342,1.1640413053342,FALSE,23
"NQO1",-0.249139045466497,0.249139045466497,FALSE,24
