"Gene","E_MTAB_RawCenter","E_MTAB_RawSD","SEQC_RawMean","SEQC_RawSD","SEQC_MeanShift_in_EMTAB_SD","SEQC_SD_to_EMTAB_SD_Ratio","SEQC_CohortZ_Mean","SEQC_CohortZ_SD","SelectedInM070"
"PRDX4",20075.1355047933,8388.07279826608,4.71908770015164,0.75056299242391,-2.3927327408558,8.94797899916964e-05,-4.96834556985084e-16,1,TRUE
"SLC16A1",1376.11430959148,836.64463371031,2.76950385496826,0.77089491159308,-1.6414912023592,0.000921412605223264,-2.07574642436663e-17,1,TRUE
"LDHA",17247.8470600497,9648.39407121274,6.10444961339242,0.870315218588025,-1.78700646793432,9.02031169295547e-05,-2.62561544906606e-16,1,TRUE
"LDHB",97008.71520105,31429.2646178654,7.6973743889891,0.776116361358944,-3.08632794963718,2.46940668448785e-05,2.36991790538317e-17,1,TRUE
"PGK1",30124.8515731347,10823.5071715641,6.05560840951465,0.515329175845033,-2.78272056250439,4.76120325580718e-05,-2.08724157993033e-16,1,TRUE
"ENO1",19448.6204281584,7095.11062501303,7.38593130699917,0.561514412038872,-2.74008898864994,7.9141036935959e-05,5.45093310069788e-16,1,TRUE
"PDK1",173.470009398067,155.327000903843,2.07190924798834,0.668792282970514,-1.10346623029298,0.00430570524814638,3.0913260015173e-16,1,TRUE
"HK2",203.965219263506,304.020815581055,1.64223765654406,1.16716643595486,-0.665490556034051,0.00383910040410927,-3.53284447657767e-17,1,TRUE
"GPI",30287.3023909578,9288.00694713686,5.72515687032046,0.364848198336268,-3.26028796128562,3.92816457193474e-05,9.36158502346921e-16,1,TRUE
"ALDOA",22678.3193245947,8650.64739626189,7.80445091516017,0.570730923128873,-2.62067263121554,6.59755157025007e-05,-1.57462730939871e-16,1,FALSE
"PRDX6",15615.300395387,4601.28255451578,5.2821538859413,0.497067360938084,-3.39253633232784,0.000108028001986154,-1.26209841328497e-16,1,TRUE
"PRDX2",20654.1973777608,6080.76738686615,7.36504557704673,0.542196211824901,-3.39543202668447,8.91657544730277e-05,-2.441370747353e-16,1,TRUE
"TXN",37009.6038113452,10269.9349116856,6.88013492697663,0.613190668885078,-3.60301442946,5.97073568779255e-05,-5.31654428201679e-16,1,FALSE
"PRDX5",19993.3344504272,7318.86913211395,6.89328469484358,0.579383066686501,-2.73081002064038,7.91629220618615e-05,-5.74311905484434e-16,1,TRUE
"TXNRD1",909.495621511222,337.14218707896,4.68698684755772,0.364660838173058,-2.68375975876242,0.00108162327987643,-2.96592430445874e-16,1,FALSE
"NQO1",32.8918629656519,41.6380449346733,1.3664910377225,0.452174145489165,-0.757129014520017,0.0108596392121338,-5.10245571809403e-17,1,FALSE
"NUDT5",5254.49874457511,2026.87931048934,3.62249132708327,0.545822839533341,-2.59062107253951,0.00026929222510124,-3.65075690561746e-16,1,TRUE
"ELK1",144.011404753655,84.1905683592943,3.2311734963691,0.472934298933539,-1.67216154969388,0.00561742613394923,-4.43713004758887e-17,1,TRUE
"SLC25A5",18242.6514851009,8746.47007129956,5.77951204833957,0.741894045648032,-2.08505509358507,8.48221099026525e-05,1.92421937375419e-17,1,TRUE
"SNAPC1",932.817485169202,495.889093721921,1.70519849861363,0.45829976170562,-1.8776623613197,0.000924198107011847,-1.57880736596733e-16,1,TRUE
"NUP37",1555.71801426533,656.136902237488,2.57670127190068,0.488786674647853,-2.36709946917644,0.000744946173551655,-1.73751018035589e-17,1,TRUE
"RUVBL1",797.543813866354,472.903407168107,4.20307757321744,0.706246513384821,-1.67759572941948,0.00149342657016164,-1.79784233016295e-16,1,TRUE
"SLC1A5",302.703726654851,317.816675008917,3.05871292516985,0.993849321399185,-0.942823449151225,0.00312711509354033,-1.01115568394889e-16,1,TRUE
"AHCY",14659.4734693633,7763.4164262513,5.26710331487525,0.854304000585089,-1.88759761958621,0.000110042274390478,4.10941361260915e-16,1,TRUE
