"Gene","RSF_importance"
"NUDT5",0.0723494105879121
"AHCY",0.0641533996198038
"SLC16A1",0.0529896134107187
"SLC1A5",0.0505144280102068
"SLC25A5",0.0387993296751598
"ELK1",0.0353424543252764
"RUVBL1",0.0289949345459902
"LDHA",0.028014402240421
"NUP37",0.0270035552974467
"LDHB",0.0254466836528008
"HK2",0.0193538485821714
"SNAPC1",0.0179671264131307
"PRDX5",0.0160978550580983
"PRDX4",0.0138362846526791
"PRDX2",0.0117617277572436
"ENO1",0.00903059360660983
"GPI",0.00412427916820069
"PDK1",0.00305307351353487
"PGK1",0.00293283674241284
"PRDX6",-0.000422809678509285
