"Item","Value"
"Lock timestamp","2026-08-08 20:02:25.543405"
"Locked model ID","M070_SuperPC_RSF"
"Selector","SuperPC"
"Learner","RSF"
"Model-selection dataset","E-MTAB-179 only"
"Repeated-CV rule","Among models within 1-SE of best repeated-CV mean C-index, prefer strongest feature stability"
"Candidate gene N","24"
"Selected gene N","20"
"Selected genes","AHCY;SLC16A1;SLC1A5;NUDT5;RUVBL1;ELK1;SNAPC1;PRDX4;LDHA;SLC25A5;NUP37;PRDX6;HK2;PGK1;LDHB;ENO1;PRDX2;PDK1;GPI;PRDX5"
"PRDX4 selected","TRUE"
"RSF ntree","1000"
"RSF nodesize","10"
"Main seed","20260808"
"RSF seed","20330810"
"Risk orientation sign","1"
"Training risk mean","14.2032635590549"
"Training risk SD","21.0317609961383"
"Locked risk cutoff","-0.499946221137832"
"SEQC opened before this lock","FALSE"
"SEQC outcomes used for model selection","FALSE"
"SEQC outcomes used for cutoff","FALSE"
