"Item","Value"
"Frozen model","M070_SuperPC_RSF"
"Model refitted in 06B","FALSE"
"Genes reselected in 06B","FALSE"
"PRDX4 selected","TRUE"
"Frozen model MD5","e719d0e6b626e75cc134e83fd0929083"
"Original06 unique SEQC predictions","1"
"Corrected06B unique SEQC predictions","498"
"Corrected06B SEQC prediction SD","21.4734937011615"
"SEQC N","498"
"SEQC events","105"
"Locked cutoff source","E-MTAB full-refit median; inherited unchanged from RECALC 06"
"Locked cutoff","-0.499946221137832"
"SEQC High N by locked cutoff","300"
"SEQC Low N by locked cutoff","198"
"SEQC survival time column","OS_time"
"SEQC survival event column","OS_event"
"SEQC outcomes used for harmonization","FALSE"
"Warnings captured","0"
